url,is_news,Source,Language,Government Stance,US stance,gpt_label
dana.ir,1,,,,,Pro-government
parstimes.com,1,,,,,Neutral
iran-emrooz.net,1,,,,,Anti-government
alalamtv.net,1,,,,,Pro-government
ebtekarnews.com,1,,,,,Reformist
payvand.com,1,,,,,Neutral
siasatrooz.ir,1,,,,,Pro-government of government
hemayatonline.ir,1,,,,,Pro-government
khabarjonoub.ir,1,,,,,Neutral
newsrahemardom.ir,1,,,,,Reformist
naslefarda.net,1,,,,,Reformist
aminnews.ir,1,,,,,Pro-government
karoondaily.ir,1,,,,,Neutral
tafahomnews.com,1,,,,,Neutral
hamvatansalam.com,1,,,,,Reformist
noordaily.ir,1,,,,,Neutral
azarbaydgan.ir,1,,,,,Neutral
ir.voanews.com,1,,,,,Anti-government
bbc.com/persian,1,,,,,Anti-government
mellee.ir,1,,,,,Neutral
iranherald.com,1,,,,,Neutral
ifpnews.com,1,,,,,Pro-government
salamtoronto.ca,1,,,,,Neutral
irannewspaper.ir,1,,,,,Pro-government
newspaper.hamshahrionline.ir,1,,,,,Pro-government
jamejamdaily.ir,1,,,,,Pro-government
aspirantum.com,1,,,,,Neutral
jepress.ir,1,,,,,Neutral
sharghdaily.ir,1,,,,,Reformist
shahrvand-newspaper.ir,1,,,,,Reformist
jaaar.com,1,,,,,Neutral
armanmeli.ir,1,,,,,Reformist
qudsdaily.com,1,,,,,Pro-government
mardomsalari.ir,1,,,,,Reformist
afarineshdaily.ir,1,,,,,Reformist
afkarpress.ir,1,,,,,Pro-government
payamema.ir,1,,,,,Reformist
pishrodaily.ir,1,,,,,Neutral
paper.resalat-news.com,1,,,,,Pro-government
roozgarpress.ir,1,,,,,Reformist
ruydadiran.com,1,,,,,Neutral
rooyesheafkar.ir,1,,,,,Pro-government
setaresobh.ir,1,,,,,Reformist
shoroonline.ir,1,,,,,Neutral
eslahat.news,1,,,,,Reformist
asre-iranian.ir,1,,,,,Pro-government
asretosee.ir,1,,,,,Reformist
mostaghelnewspaper.ir,1,,,,,Reformist
hamdelidaily.ir,1,,,,,Reformist
sobhe-no.ir,1,,,,,Pro-government
etehademelat.ir,1,,,,,Reformist
emtiazdaily.ir,1,,,,,Neutral
besharateno.ir,1,,,,,Neutral
zamandaily.ir,1,,,,,Neutral
bayanemelionline.ir,1,,,,,Neutral
toseeirani.ir,1,,,,,Reformist
jomhoordaily.ir,1,,,,,Pro-government
goodonline.ir,1,,,,,Neutral
youthworld.ir,1,,,,,Neutral
roozannews.ir,1,,,,,Reformist
sayeh-news.com,1,,,,,Neutral
serajonline.com,1,,,,,Pro-government
shakhesabz.ir,1,,,,,Neutral
asrerasaneh.ir,1,,,,,Neutral
kaenat.ir,1,,,,,Neutral
mamlekat.online,1,,,,,Anti-government
noavaranonline.ir,1,,,,,Reformist
7sobh.com,1,,,,,Pro-government
jomlehonline.ir,1,,,,,Reformist
hambastegi-news.com,1,,,,,Reformist
yadegaremrooz.ir,1,,,,,Reformist
etedaldaily.ir,1,,,,,Reformist
pishkhan.com,1,,,,,Neutral
honarmandonline.ir,1,,,,,Neutral
eidehrooz.com,1,,,,,Neutral
karvakargar.com,1,,,,,Reformist
kasbokarnews.ir,1,,,,,Neutral
smtnews.ir,1,,,,,Neutral
taadolnewspaper.ir,1,,,,,Reformist
asianews.ir,1,,,,,Neutral
abrarnews.com,1,,,,,Pro-government
akhbaresanat.ir,1,,,,,Neutral
eskenasnewspaper.com,1,,,,,Neutral
jahanesanat.ir,1,,,,,Reformist
kharidaar.ir,1,,,,,Neutral
asre-eghtesad.com,1,,,,,Neutral
eqtesadayandeh.ir,1,,,,,Neutral
eghtesadepooya.ir,1,,,,,Neutral
eghtesadsaramad.ir,1,,,,,Neutral
eghtesademardom.com,1,,,,,Neutral
eghtesademeli.com,1,,,,,Neutral
bkkg.ir,1,,,,,Neutral
todayonline.ir,1,,,,,Neutral
tejaratonline.ir,1,,,,,Neutral
tourismpaper.ir,1,,,,,Neutral
servatnews.com,1,,,,,Neutral
rouzegaremadan.ir,1,,,,,Neutral
sobh-eqtesad.ir,1,,,,,Pro-government
forsatnet.ir,1,,,,,Neutral
fanavarandaily.ir,1,,,,,Neutral
monaghesatiran.ir,1,,,,,Neutral
movajehe.ir,1,,,,,Pro-government
hadafeco.ir,1,,,,,Neutral
jahaneghtesad.com,1,,,,,Neutral
khorasanrazavi.khorasannews.com,1,,,,,Pro-government
khorasanshomali.khorasannews.com,1,,,,,Pro-government
ava724.ir,1,,,,,Neutral
birjandtoday.ir,1,,,,,Neutral
shahraranews.ir,1,,,,,Pro-government
sobhe-emrooz.ir,1,,,,,Reformist
atrakdaily.ir,1,,,,,Neutral
esfahan-news.com,1,,,,,Neutral
isfahanziba.ir,1,,,,,Pro-government
zayanderoudonline.ir,1,,,,,Neutral
nesfejahan.net,1,,,,,Neutral
presssimayeshahr.ir,1,,,,,Pro-government
asreesfahannews.ir,1,,,,,Neutral
eskimia.ir,1,,,,,Neutral
saghieazarbaijan.ir,1,,,,,Neutral
asrazadionline.ir,1,,,,,Reformist
fajrazarbayjannews.ir,1,,,,,Pro-government
mahdazadi.com,1,,,,,Reformist
saebtabriznews.ir,1,,,,,Neutral
aftabeyazd.ir,1,,,,,Reformist
besharateyazd.ir,1,,,,,Neutral
payamdaily.ir,1,,,,,Neutral
sepidarnews.ir,1,,,,,Neutral
eghtesad-kish.ir,1,,,,,Neutral
payameasalooye.ir,1,,,,,Neutral
ebtekarjonoob.com,1,,,,,Neutral
sobhesahel.com,1,,,,,Neutral
daryanews.ir,1,,,,,Neutral
daryayeandisheh.ir,1,,,,,Neutral
harfonline.ir,1,,,,,Neutral
khabare-shomal.ir,1,,,,,Neutral
sobh-caspian.ir,1,,,,,Pro-government
karaneshomal.ir,1,,,,,Neutral
vareshdaily.ir,1,,,,,Neutral
diyarepakan.ir,1,,,,,Neutral
zanganonline.ir,1,,,,,Neutral
sedayezanjannews.ir,1,,,,,Neutral
eghtesadboominews.ir,1,,,,,Neutral
tamashanewspaper.ir,1,,,,,Neutral
sobhannews.ir,1,,,,,Pro-government
tolounews.com,1,,,,,Neutral
safirenew.ir,1,,,,,Pro-government
kermanemrooz.com,1,,,,,Neutral
k-vatan.ir,1,,,,,Neutral
imandaily.ir,1,,,,,Pro-government
gooyeh-qom.com,1,,,,,Neutral
vaghayeostan.ir,1,,,,,Neutral
velaiatnews.com,1,,,,,Pro-government
hamedanpayam.com,1,,,,,Neutral
sepehrgharb.ir,1,,,,,Neutral
hegmataneh-news.ir,1,,,,,Neutral
yaghoutnews.ir,1,,,,,Neutral
ilna.news,1,,,,,Reformist
irdiplomacy.ir,1,,,,,Reformist
eghtesadonline.com,1,,,,,Neutral
azariha.org,1,,,,,Pro-government
defapress.ir,1,,,,,Pro-government
hra-news.org,1,,,,,Anti-government
rasanews.ir,1,,,,,Pro-government
pana.ir,1,,,,,Pro-government
snn.ir,1,,,,,Pro-government
honaremana.news,1,,,,,Neutral
rooznegaronline.ir,1,,,,,Neutral
iwna.ir,1,,,,,Neutral
mizan.news,1,,,,,Pro-government
mojnews.com,1,,,,,Pro-government
aryanews.com,1,,,,,Neutral
borna.news,1,,,,,Pro-government
aftabnews.ir,1,,,,,Reformist
rajanews.com,1,,,,,Pro-government
jahannews.com,1,,,,,Pro-government
bultannews.com,1,,,,,Pro-government
seratnews.com,1,,,,,Pro-government
qalampress.ir,1,,,,,Neutral
ecoiran.com,1,,,,,Neutral
eslahatnews.com,1,,,,,Reformist
emtedadnews.com,1,,,,,Reformist
ensafnews.com,1,,,,,Reformist
farazdaily.com,1,,,,,Reformist
irandaily.ir,1,,,,,Pro-government
abroumand.ir,1,,,,,Neutral
abadehnama.ir,1,,,,,Neutral
sanayepress.com,1,,,,,Neutral
afkarnews.com,1,,,,,Pro-government
nasrnews.ir,1,,,,,Neutral
omidnameh.com,1,,,,,Reformist
bamdad24.ir,1,,,,,Reformist
baharnews.ir,1,,,,,Reformist
payamenaft.com,1,,,,,Neutral
sokhanerooz.ir,1,,,,,Pro-government
econapress.com,1,,,,,Neutral
qumpress.ir,1,,,,,Neutral
albf.ir,1,,,,,Neutral
daryaaknar.ir,1,,,,,Neutral
rozhan-kurdi.ir,1,,,,,Neutral
nedayrasa.ir,1,,,,,Pro-government
payamgooyesemnan.ir,1,,,,,Neutral
19dey.com,1,,,,,Reformist
abadannews.com,1,,,,,Neutral
iranpress.com,1,,,,,Pro-government
iranprimer.usip.org,1,,,,,Neutral
iran-times.com,1,,,,,Anti-government
mojahedin.org,1,,,,,Anti-government
